,Date de cloture,Durée,Devise,Chiffre d'affaires,dont export,Production,Valeurs ajoutée (VA),Excédent d'exploitations,Résultat d'exploitation,RCAI,Résultat net,Effectif moyen
0,2006-06-30,12 mois,euros,72400000,0,72400000,53200000,500000,-8000000,-9100000,-12900000,156
1,2007-06-30,12 mois,euros,67400000,0,67400000,43500000,-12900000,-17700000,-17800000,-18900000,148
2,2008-06-30,12 mois,euros,67800000,0,67800000,42000000,-12800000,-19600000,-20400000,-13400000,142
3,2009-06-30,12 mois,euros,87400000,0,87400000,56400000,-1100000,-13700000,-14300000,-5400000,174
4,2010-06-30,12 mois,euros,70900000,0,70900000,44000000,-17500000,-27900000,-28700000,-21800000,190
5,2011-06-30,12 mois,euros,86775300,0,86775300,54549500,-17449300,-29031300,-29600800,0,166
6,2012-06-30,12 mois,euros,207895300,0,207895300,168044500,27017200,8376200,6472400,-5660700,166
7,2013-06-30,12 mois,euros,375536900,2083500,375536900,315637100,47992500,-3051100,-5858400,-4120600,297
8,2014-06-30,12 mois,euros,442237300,0,442237300,358154100,62741000,-20070400,-21996800,-2900400,350
9,2015-06-30,12 mois,euros,446722700,0,446722700,369986600,74964700,6644300,6096200,8910800,402
10,2016-06-30,12 mois,euros,488059300,0,488059300,393197700,84731500,-4534600,-4561800,8162800,439
11,2017-06-30,12 mois,euros,458653900,0,458653900,364243500,75867100,-18440900,-25380200,-6846300,488
12,2018-06-30,12 mois,euros,497461200,0,497461200,387794600,30662400,-89394100,-101261200,39577300,485
13,2019-06-30,12 mois,euros,588571900,0,588571900,464984500,65840000,-29364900,-42237300,26412300,483
